Code,Title,Abbreviation
UE16MA251,Linear Algebra,LA
UE16CS251,Design and Analysis of Algorithms,DAA
UE16CS252,Database Management System,DBMS
UE16CS253,Microprocessor and Computer Architecture,MPCA
UE16CS254,Theory of Computation,TOC
UE16CS255,Design and Analysis of Algorithms Laboratory,DAA LAB
UE16CS256,Database Management System Laboratory,DBMS LAB
UE16CS257,Microprocessor and Computer Architecture Laboratory,MPCA LAB
UE15CS351,Compiler Design,CD
UE15CS352,Unix System Programming,USP
UE15CS353,Machine Learning,ML
UE15CS354,Compiler Design Laboratory,CD LAB
UE15CS355,Unix System Programming Laboratory,USP LAB
UE15CS356,Machine Learning Laboratory,ML LAB